编号,分类,GCJ02_经度,GCJ02_纬度,WGS84_经度,WGS84_纬度
0,垃圾桶,118.093213,24.463067,118.088238,24.46571
1,垃圾桶,118.093528,24.463049,118.088552,24.465692
2,垃圾桶,118.094035,24.46286,118.08906,24.465503
3,垃圾桶,118.094207,24.462798,118.089232,24.465441
4,路灯,118.094576,24.462776,118.089601,24.465418
5,路灯,118.094369,24.4627,118.089394,24.465343
6,路灯,118.09419,24.462666,118.089215,24.465308
7,路灯,118.095583,24.462371,118.090609,24.465013
8,路灯,118.094981,24.462259,118.090006,24.464902
9,路灯,118.093359,24.462124,118.088384,24.464766
10,路灯,118.094225,24.462116,118.08925,24.464758
11,垃圾桶,118.095012,24.462141,118.090037,24.464783
12,路灯,118.093544,24.462009,118.088569,24.464651
13,反光镜,118.093385,24.461988,118.08841,24.464631
14,垃圾桶,118.093331,24.461877,118.088355,24.464519
15,灭火器,118.093753,24.461822,118.088777,24.464465
16,晾衣架,118.095082,24.46184,118.090107,24.464482
17,路灯,118.094983,24.461797,118.090008,24.464439
18,路灯,118.093828,24.461731,118.088853,24.464373
19,垃圾桶,118.093652,24.461701,118.088677,24.464343
20,宣传栏,118.095052,24.461674,118.090077,24.464316
21,晾衣架,118.093601,24.46126,118.088626,24.463903
22,路灯,118.093892,24.461262,118.088917,24.463904
23,路灯,118.093783,24.461229,118.088808,24.463871
24,宣传栏,118.093631,24.461114,118.088656,24.463756
25,垃圾桶,118.093876,24.461093,118.088901,24.463736
26,晾衣架,118.094306,24.460465,118.089331,24.463107
27,灭火器,118.094864,24.460482,118.089889,24.463124
28,晾衣架,118.094595,24.460444,118.08962,24.463086
29,宣传栏,118.094197,24.460403,118.089222,24.463045
30,垃圾桶,118.094892,24.460385,118.089917,24.463027
31,指示牌,118.09251,24.460082,118.087535,24.462725
32,反光镜,118.095192,24.46009,118.090217,24.462732
33,路灯,118.09246,24.45999,118.087485,24.462633
34,宣传栏,118.094252,24.460013,118.089278,24.462655
35,路灯,118.092579,24.459846,118.087604,24.462488
36,垃圾桶,118.09426,24.459824,118.089285,24.462466
37,路灯,118.094787,24.459774,118.089812,24.462416
38,路灯,118.095888,24.459805,118.090914,24.462447
39,灭火器,118.094153,24.459736,118.089178,24.462378
40,路灯,118.094955,24.459749,118.08998,24.462391
41,反光镜,118.096147,24.459754,118.091173,24.462396
42,指示牌,118.092331,24.459563,118.087355,24.462205
43,垃圾桶,118.093321,24.45957,118.088346,24.462212
44,垃圾桶,118.094023,24.45959,118.089048,24.462232
45,指示牌,118.093402,24.459542,118.088427,24.462184
46,晾衣架,118.094528,24.459564,118.089553,24.462206
47,路灯,118.092291,24.459473,118.087315,24.462116
